,30 SEP '25,30 JUN '25,31 MAR '25,31 DEC '24,30 SEP '24,30 JUN '24,31 MAR '24,31 DEC '23,30 SEP '23,30 JUN '23,31 MAR '23,31 DEC '22,30 SEP '22,30 JUN '22,31 MAR '22,31 DEC '21,30 SEP '21,30 JUN '21,31 MAR '21,31 DEC '20,30 SEP '20,30 JUN '20,31 MAR '20,31 DEC '19,30 SEP '19,30 JUN '19,31 MAR '19,31 DEC '18,30 SEP '18,30 JUN '18,31 MAR '18,31 DEC '17,30 SEP '17,30 JUN '17,31 MAR '17,31 DEC '16,30 SEP '16,30 JUN '16,31 MAR '16,31 DEC '15,30 SEP '15,30 JUN '15,31 MAR '15,31 DEC '14,30 SEP '14,30 JUN '14,31 MAR '14,31 DEC '13,30 SEP '13,30 JUN '13,31 MAR '13,31 DEC '12,30 SEP '12,30 JUN '12,31 MAR '12,31 DEC '11,30 SEP '11,30 JUN '11,31 MAR '11,31 DEC '10,30 SEP '10,30 JUN '10,31 MAR '10,31 DEC '09,30 SEP '09,30 JUN '09,31 MAR '09,31 DEC '08,30 SEP '08,30 JUN '08,31 MAR '08,31 DEC '07,31 DEC '06,31 DEC '05,31 DEC '04
Net gains / losses on trading and securities,,,,,,,,,,,,,"1,642",,,"7,264","4,852","3,608",891,"2,710","1,726",452,"-1,100","3,976",862,586,357,"2,225",592,434,243,542,543,423,272,610,943,528,200,614,515,541,408,"1,161",982,814,432,"1,623","1,298",901,570,"1,707","1,432",903,640,"1,014",584,"1,026",612,"1,648","1,116",646,537,"2,674","2,158","1,536",787,275,,,,544,,,
Net gains / losses from equity investments,,,,,,,,,,,,,,,,,,,,,,,,,"2,392","1,436",814,,"1,494","1,078",783,"1,779","1,207",844,570,"1,103",573,433,244,"2,230","1,807",887,370,"2,380","2,008","1,296",847,"1,472",818,316,113,"1,485",770,606,364,"1,482","1,421","1,077",353,779,462,331,43,185,-88,-117,-157,-757,-149,360,313,864,738,511,394
Net gains / losses on debt securities,,,,,,,,,,,,,,,,,,,,,,,,,148,145,125,,99,42,1,479,322,156,36,942,797,691,244,952,606,459,278,593,407,154,83,-29,-15,-9,45,-128,-65,-68,-7,54,6,-294,-166,-324,-56,58,28,-127,-237,-197,-119,"1,037",316,232,323,209,-19,-120,-15
Other,"2,263","1,708",813,"2,321","1,925","1,329",717,"1,935","1,373",992,580,"2,821","1,716","1,258",692,"4,408","2,283","1,674",982,"3,847","3,209","2,213",863,"7,457","4,937","2,374","1,017","5,386","3,071","1,985","1,057","3,510","2,494","1,820",855,"3,216","3,075","2,226","1,247","1,085",888,433,418,"1,540",906,618,248,"1,342","1,155",804,587,"2,374","1,837","1,208",690,"2,413","1,594",953,486,"2,995","2,463","1,705",795,"2,513","2,086","1,326",682,"1,277","1,642","1,282",464,"1,639","2,139","2,082","1,935"
Lease income,,,,,,,,,,,,,,,,,,,,,,,,,"1,270",867,443,,"1,351",898,455,"1,907","1,449",974,481,"1,927","1,404",870,373,621,476,287,132,526,399,262,133,663,515,355,130,567,397,179,59,524,464,180,77,815,736,514,185,685,522,298,130,427,,,,703,783,812,836
Other excluding lease income,,,,,,,,,,,,,"1,716",,,"4,408","2,283","1,674",982,"3,847","3,209","2,213",863,"7,457","3,667","1,507",574,"5,386","1,720","1,087",602,"1,603","1,045",846,374,"1,289","1,671","1,356",874,464,412,146,286,"1,014",507,356,115,679,640,449,457,"1,807","1,440","1,029",631,"1,889","1,130",773,409,"2,180","1,727","1,191",610,"1,828","1,564","1,028",552,850,,,,936,"1,356","1,270","1,099"
Other fees,,,,,,,,,,,,,,,,,,,,,,,,,,"1,570",770,,"2,496","1,646",800,"3,557","2,644","1,767",865,"3,727","2,765","1,839",933,"4,324","3,284","2,185","1,078","4,349","3,225","2,135","1,047","4,340","3,221","2,123","1,034","4,519","3,326","2,229","1,095","4,193","3,097","2,012",989,"3,990","2,927","1,923",941,"3,804","2,814","1,864",901,"2,097","1,562","1,010",499,"2,292","2,057","1,929","1,779"
Total revenue,"62,407","40,971","20,149","82,296","61,918","41,552","20,863","82,597","62,119","41,262","20,729","74,368","54,334","34,768","17,728","79,166","57,636","38,802","18,532","74,264","55,775","36,459","17,717","86,832","63,160","41,845","20,764","86,408","64,205","42,844","21,743","85,861","64,462","43,330","21,650","84,497","63,720","42,197","21,109","83,615","62,860","41,688","20,670","82,952","61,994","41,149","20,300","81,471","61,169","40,766","20,040","78,869","58,752","39,130","19,641","73,049","54,484","36,667","18,119","69,457","50,952","33,523","16,118","67,018","50,235","33,880","16,459","25,898","24,865","16,983","8,535","34,581","33,487","30,566","28,342"
Provision for credit losses,"-2,618","-1,937",-932,"-4,334","-3,239","-2,174",-938,"-5,399","-4,117","-2,920","-1,207","-1,534",-577,207,787,"4,155","3,703","2,308","1,048","-14,129","-14,308","-13,539","-4,005","-2,687",,,,"-1,744",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total noninterest expense,"-41,116","-27,270","-13,891","-54,598","-40,698","-27,631","-14,338","-55,562","-39,776","-26,663","-13,676","-57,205","-41,019","-26,713","-13,851","-53,758","-40,633","-27,330","-13,989","-57,630","-42,828","-27,599","-13,048","-58,178","-42,564","-27,365","-13,916","-56,126","-42,787","-29,024","-15,042","-58,484","-41,684","-27,333","-13,792","-52,377","-39,162","-25,894","-13,028","-49,974","-37,375","-24,976","-12,507","-49,037","-36,390","-24,142","-11,948","-48,842","-36,757","-24,655","-12,400","-50,398","-37,502","-25,390","-12,993","-49,393","-36,885","-25,208","-12,733","-50,456","-37,116","-24,863","-12,117","-49,020","-36,199","-24,515","-11,818","-22,598","-16,788","-11,287","-5,442","-22,746","-20,837","-19,018","-17,573"
Personnel,"-27,204","-18,183","-9,474","-35,729","-26,658","-18,067","-9,492","-35,829","-26,648","-18,021","-9,415","-34,340","-25,925","-17,713","-9,271","-35,541","-27,066","-18,376","-9,558","-34,811","-25,863","-17,239","-8,323","-35,128","-26,309","-17,682","-9,208","-33,085","-25,346","-17,081","-8,729","-33,371","-25,010","-16,822","-8,672","-31,893","-24,121","-16,154","-8,207","-30,681","-23,121","-15,661","-8,013","-29,942","-22,298","-14,926","-7,516","-30,136","-22,818","-15,335","-7,823","-28,804","-21,813","-14,734","-7,626","-27,667","-20,698","-14,112","-7,193","-27,212","-20,312","-13,480","-6,628","-26,467","-19,732","-13,219","-6,494","-12,940","-9,763","-6,644","-3,215","-13,368","-11,927","-10,455","-8,924"
Salaries,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,425",,"-13,289","-8,828","-4,363","-17,363","-12,960","-8,604","-4,261","-16,552","-12,359","-8,135","-4,036","-15,883","-11,822","-7,787","-3,851","-15,375","-11,437","-7,523","-3,728","-15,152","-11,341","-7,431","-3,663","-14,689","-10,954","-7,306","-3,601","-14,462","-10,756","-7,038","-3,454","-13,869","-10,356","-6,878","-3,314","-13,757","-10,252","-6,824","-3,386","-8,260","-6,092","-4,014","-1,984","-7,762","-7,007","-6,215","-5,393"
Commission and incentive compensation,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,845",,"-7,837","-5,410","-2,768","-10,442","-7,777","-5,224","-2,725","-10,247","-7,769","-5,249","-2,645","-10,352","-7,895","-5,291","-2,685","-9,970","-7,388","-4,861","-2,416","-9,951","-7,604","-5,203","-2,577","-9,504","-7,139","-4,771","-2,417","-8,857","-6,606","-4,518","-2,347","-8,692","-6,497","-4,217","-1,992","-8,021","-5,935","-3,884","-1,824","-2,676","-2,005","-1,450",-644,"-3,284","-2,885","-2,366","-1,807"
